Sl No,                                                                          Prompts
409,"rugged girl witch wearing a magic school uniform, large wide-brimmed witch hat, cinematic, elaborate, elegant, masterpiece, illustration, digital painting, concept art, trending on artstation, pixiv,  "
410,"a person experiencing synesthesia while listening to their favorite song, blending of senses, such as seeing colors or shapes while hearing music, and evoke a sense of wonder and beauty, the crossing of senses, where someone may hear colors or see sounds, depth_of_field, light_particles,  colorful"
411,"Glamorous woman , Beautiful Face, Perfect Eyes, Olive green Eyes, Cute, Glamorous woman wearing a very revealing swim suit, in the style of glamorous pin-ups, laying on the beach, candid shots of famous figures, eiichiro oda, UHD"
412,"The personification of the valentines day holiday in the form of a cute girl, unreal engine, highly detailed, artgerm digital illustration, studio ghibli, deviantart, sharp focus, artstation, by Alexei Vinogradov bakery"
413,"A fine illustration of a (modern witch), 1girl, casual outfit, punk t-shirt, cute, torn legwear, witch hat, kneeling in summoning circle, view from below, solo focus, volumetric lighting"
414,"a girl with long dark hair and golden armor is walking on fire, in the style of tristan eaton, traditional chinese painting, skottie young, bold yet graceful, strong facial expression, michael malm "
415,"a girl with long dark hair and golden armor is walking on fire, in the style of tristan eaton, traditional chinese painting, skottie young, bold yet graceful, strong facial expression, michael malm, ue5 --ar 9:14 --s 750 --niji 5"
416,"(royal, woman, highly detailed clothes adorned with laces and floral elements, luxurious laces), revealing clothes, absurdist style, portraying an elegant and strict queen in a beautiful and colorful environment full of celebration, flowers, medieval architecture and a summer street. Capturing the essence of a high quality masterpiece."
417,"two fluffy kittens sitting next to each other, a pastel, by Christen Kobke, featured on pinterest, rococo, rainbow sheep like cotton candy, made of candy and lollypops,"
418,"velma from scooby-doo, beautiful charismatic girl, showing piercing, athletic body, a woman an orange top, gorgeous figure, interesting shapes, full body shot, goth style, dark eye, in the style of jessica drossin, life-size figures "
419,"Candy themed anime girl, Single Girl, Super Cute, Cute expression, Petite , (Extreme Detailed Face, Perfect Detailed Eyes:1. 2), (High Detail Skin:1. 2), cotton candy, candy cane, Bubble gum, Vibrant Colors,   Fantasy , extreme detail, Ornate,   8k, UHD, HDR, (Masterpiece:1. 5), (best quality:1. 5)"
420,"(masterpiece), best quality, centered, 2D illustration, anime style, expressive eyes, perfect face, full body, instagram able, dynamic pose, clockwork, robot, cybernetic, sitting, gears, fix, cybernetic biochemical steampunk 1girl, orange hair, lots of gears background, (epic composition, epic proportion), intricate, professional work, soft shadow, volumetric lighting, ghost in the shell inspired"
421,"A dramatic portrait of a young woman with a stylish haircut and piercing eyes. The photo is shot in a high-contrast style, with strong shadows and highlights, emphasizing the model's sharp features. The photo was taken with a film camera, using a fast prime lens, which gives the image a gritty and raw feel. The portrait is perfect for use in fashion magazines, advertising campaigns, or as a striking wall art print."
422,"((best quality)), (masterpiece), (realism), highres, 8k, radiant smile, magnificent queens room, elegant, beautiful, intricate details"
423,"A dramatic portrait of a young woman with a stylish haircut and piercing eyes. The photo is shot in a high-contrast style, with strong shadows and highlights, emphasizing the model's sharp features. The photo was taken with a film camera, using a fast prime lens, which gives the image a gritty and raw feel. The portrait is perfect for use in fashion magazines, advertising campaigns, or as a striking wall art print."
424,"A close up portrait of a beautiful woman picking flowers in a meadow by Ken Sugimori, summer, dawn, anime"
425,"girl, forest, the sun is shining, birds are flying, fawns, raccoons, fox, strawberries, trees, hayao miyazaki style, 8k, hd, contour light, high contrast, depth of field, ultra detail, photorealism, cinematography, gigantism, from the first person, lots of details, dark tone, bokeh, epic frame, super realistic texture  "
426,"Girl with brown hair and blue eyes, holding with both hands a box of chocolates in the shape of a heart, offering gift with both hands, shy look, blushing, dressed in a red apron and white blouse with lace and black count, red headband, white thigh stockings,"
427,"Award winning Illustration , peacock fairy goddess, purple roses, facial closeup, warm lighting, extreme detail,  16k, UHD, HDR,(Masterpiece:1.5), (best quality:1.5)"
428,"absurdres, (((masterpiece))),   epic composition, a beautiful woman sits on a velvet couch in a dimly lit room, surrounded by flickering candles. Her long, flowing hair cascades down her back in soft waves, and her eyes are closed as she enjoys a moment of solitude. She wears a delicate silk gown, and the fabric glimmers in the candlelight. A vase of freshly cut flowers sits on the coffee table in front of her, filling the air with a sweet fragrance, "
429,"there is a woman sitting on a tree branch with a deer, goddess of the hunt, female forest archer, forest hunter lady, realistic fantasy illustration, goddess of the forest, fantasy art style, beautiful fantasy art, realistic fantasy artwork, beautiful maiden, fey queen of the summer forest, fantasy art illustration, graphic artist magali villeneuve, realistic fantasy painting"
430,"Amazing anatomy, (fantastic horror perfect art, 64k ultra hd:1.1), (art by apterus, art by dan mumford, art by lovecraft:1.2), best quality, 500px, cgsociety, Portrait of a (zombie women:1.2), blood on her face  ,  living in a phoenix environment, pfp , dark environment , mist  , anime style , realistic "
431,"A pretty girl in a crowded medieval market, market vendors, upper body, detailed clothes, green eyes, long flowing hair, shiny skin, subsurface scattering, (sharp:0.7), ultra-detailed, real-life texture, dramatic lighting, dynamic composition, unreal engine, Nikon D850  "
432,"(beautiful dreamy landscape:1.2), environment, dream, colors, dramatic, mid day, large scale, hyperrealistic, lots of detail, realistic lighting, octane render, by wlop, artgerm, trending on artstation hd, 8 k, Studio ghibli style, 16k, UHD, HDR10,((Masterpiece)), Absurdres"
433,"(a beautiful girl in a cozy cabin), masterpiece, intricate details, trending on artstation, cinematic lighting, ultra resolution, long black hair, 1girl, art by ruan jia, greg rutkowski, anato finnstark, fantasy ambiance, medieval, highly detailed face"
434,"Dew drops on petals, Morning sunbeams gently warm, Nature's beauty shines| dynamic pose |centered| key visual| intricate| highly detailed| breathtaking beauty| precise lineart| vibrant| comprehensive cinematic| Carne Griffiths| Conrad Roset| Anna Dittmann| dappled sunlight"
435,"blue theme, masterpiece, magical girl, (impossible clothes:1.5), microskirt, gradient background, silver blue hair, , blunt bangs,sidelocks, pink eyes,   medium breasts, breasts, thigh gap, hair ornament, arched back, black_witch_hat,intricate_embellishments,Mystical_fountains,glowing_crystals"
436,"a woman in a red dress standing in a field of roses with a full moon in the background and a castle in the distance, Charlie Bowater, stanley artgerm lau, a detailed painting, fantasy art Flying sea birds"
437,masterpiece| best quality| asuka langley wearing a dress| dancing in a field of flowers| detailed face| intricate| god rays
438,"Masterpiece, best quality,milf,  mature face, blue eyes, realistic, 1girl, saleswoman,  curvy, chubby, fat, Woman in a brown suit, small breasts, thin waist, round hips,  covered nipples, thigh gap,  large ass, brown hat, clipboard, red tie, white blouse, short hair, angry,suburban neighborhood, neighborhood street, sunny, lush lawn, autumn, birch trees,3d,  iuui, xilmo, gsusart,"
439,"1girl, ass, dark-skinned female, solo, dark skin, sweat, tattoo, purple hair, from behind, short hair, (back tattoo:1.3), median furrow, shiny, thong, breasts, back, facing away, shiny skin, bracelet, jewelry, outdoors, cowboy shot, arms at sides, large breasts, ass support, bikini, thong bikini, swimsuit, armlet, day, bare shoulders, blue sky, arm tattoo, standing, sky, underwear, blurry, thigh gap, wet, blurry background, pillar, nude,nsfw,"
440,"((adult:1.3), (mature:1.2), (MILF:1.1)), masterpiece, (best quality), (ultra detailed), very dim and gloomy lighting, best quality, ultra-detailed, detailed background, highlights, BREAK volumetric lighting, (long face), (sharp eyes), dramatic lighting, BREAK (tall, tight, thick thigh, medium breast), seductive, sitting (apartment, neon lights, window, screen), (dyed_hair:1.3), (kigurumi:1.3), onesie, from above"
441,"3d rendering ultra realistic photo red latex bodysuit solo stunningly attractive woman, cleavage, perfect face, beautiful covered breasts long red hair,  intricate, 8k, artstation, highly detailed, digital painting, intense, sharp focus, hasselblad photography"
442,"((adult:1.3), (mature:1.2), (MILF:1.1)), masterpiece, (best quality), (ultra detailed), very dim and gloomy lighting, best quality, ultra-detailed, detailed background, highlights, BREAK volumetric lighting, (long face), (sharp eyes), dramatic lighting, BREAK (tall, tight, thick thigh, medium breast), (curly hair, elf, freckles, green eyes, medium breasts, red-tinted skin, seductive, staring down at viewer, white embroidered dress), (field, woods, horizon, mountain, god rays), (sitting), (green hair), (indoor)"
443,"1girl, Leona Heiden, blue hair, ponytail, empty eyes, brown eyes, yellow tank top, shirt lift, big breasts, nipples, lying, on back, 1 boy, penis, crotch, head out of frame, (paizuri:1.2), from side, straddling, hungry clicker, iuui"
444,"(adult:1.3), (mature:1.2), (MILF:1.1)), masterpiece, (best quality), (ultra detailed), very dim and gloomy lighting, best quality, ultra-detailed, detailed background, highlights, BREAK volumetric lighting, (long face), (sharp eyes), dramatic lighting, BREAK (tall, tight, thick thigh, medium breast), seductive, sitting (apartment, neon lights, window, screen), (dyed_hair:1.3), (kigurumi:1.3), onesie, from above"
445,"leogirl, seductive leaning forward detailed skin, ultra realistic 8k cg, picture-perfect face, flawless, clean, masterpiece, professional artwork, famous artwork, cinematic lighting, cinematic bloom,1 cute girl,((golden hair)) (beautiful girl),(hi-top fade:1),perfect face, (young:1.1),((25 year old)), beautiful face, beautiful blue eyes, (((perfect female body, narrow waist))),(nude:1.1),(huge breasts:1), armlet, looking at viewer,(nude:1),pussy, beautiful nipples, (slim:1.3, athletic:1.3)"
446,"Cyberpunk, double exposure. Detailed splatter digital painting , lines art, acrylic, dynamic on a cracked paper, close up. Cyberdemonic  woman close together, portrait, detailed demon face, dynamic pose, light on face shadow play, perfect face, sharp glowing eyes, in the style of James Jean, Craola"
447,"a cute girl with long hair and a short skirt, in the style of cyberpunk manga, light magenta and dark bronze, intertwining materials, light blue and dark black, loose brushwork"
448,"Official art, studio lighting, light fog around, woman floating in the air, looking at the sky, thin fabric clothes blowing in the wind, messy hair, beautiful figure, soft smile, A large number of small luminous particles of various shapes, luminescent particles that move along sound waves, Numerous musical notes swirl and surround the woman's body, heavenly voice, The melody of music swirls, melody, freedom, healing,   masterpiece, perfect anatomy, 32k UHD resolution, best quality, highres, realistic photo, professional photography, cinematic angle, cinematic lights, closed up"
449,"An anime girl at a national park, outdoors, 22 years old, perfect anime quality, beautiful scenery, mountains, trees, hills, path, perfect face, perfect long curly brown hair, photo quality, happy, cowboy shot"
450,"An anime girl walking through the city, casual clothes, city, walking, jacket, black leggings, sidewalk, traffic, car lights, beautiful brown hair, blue eyes, black jacket, (happy, very energetic), cowboy shot, beautiful cloudy sky, perfect anime quality, masterpiece, highres, ((side view, hair blowing in wind:1))"
451,"A stunningly intricate (((close-up portrait))), capturing the essence of a (((Siren))) in a dazzling fantasy art theme, with dazzlingly detailed features and a striking beauty that transcends this world, in the style of iconic artists like Luis Royo and Julie Bell, wearing exotically ornate attire that highlights her otherworldly appeal, com hypersharp ue5 photorealistic details, cinematic HDR SSAO RTX, 4k 8k 16k gigapixel render"
452,"(masterpiece, top quality, best, official art, ABDL, traditional Japanese cloth diaper, beautiful and aesthetic:1.2), beautiful Dehya from game ""Genshin"", detailed symmetrical face (wearing ABDL diaper:1.2)(pop art:1.4), (zentangle, flower effects:1.2), (art nouveau:1.1),((ukiyoe)) "
453,"electronic circuit pattern dress,electronic circuit pattern,miku,masterpiece, best quality, 8K, (photorealistic:1.4),(Vivid colors:1.3),(content expression:1.3),Electronic girl. Cyberpunk magic. Electronic wings dress. Electronic world. A world with an original and fantastical atmosphere. A world with an original and fantastical atmosphere,smile,yellow Electronic hair,blue Electronic eye,pink long dress,cute,soft,cool,kawaii,flower,soft,thin,wind,sit,skart,soaring feathers"
454,"(masterpiece, best quality),high quality,(perfect face, detailed face), (mature female, milf:1.4),large breast,wide hips,mature female, vsuit,dark background,blurry background ,dark skin, dark-skinned female ,(white hair,brown eyes),short hair ,from below"
455," A mesmerizing digital portrait of a charismatic woman with piercing violet eyes, blue background, adorned in an ornate headdress, surrounded by vibrant blossoms and delicate feathers"
456,"masterpiece,best quality,1girl,AuraFrieren,horns,twin braids,necklace,beret,black jacket,open jacket,mask,denim shorts,pink tank top,thick thighs,wide hips,expressionless,(hands in pockets),(spoken question mark:1.2),city,dutch angle, "
457,"A night Hong Kong street, a well lit adult woman poses wearing a full dress with a high collar and side slit, a leg aside, high heels, depth of field, film grain, high quality analog photo, professional shot"
458,"(masterpiece, best quality:1.2), 1girl, dirtypairyuri, crop top, yellow gloves, knee boots, yellow footwear, cleavage, cleavage cutout, blue eyes, garden, ass, bent over"
459,"1girl, ((Mrs. Incredible)), ((Pixar mom)), (huge butt), tiny waist, narrow torso, (medium breasts), large butt, thick thighs, red bodysuit, short brown hair, sexy pose, charming expression, standing outside in a city, full body in frame, masterpiece, realistic, photorealistic, high quality, sharp focus, realistic hands, realistic eyes"
460,"1girl, brown footwear, closed mouth, clothing, dress, elf, female, floral print, footwear, grey hair, headdress, headwear, legwear, neck ribbon, pointed ears, red dress, red eyes, red ribbon, ribbon, shoes, short hair, smile "
461,"Elf, 18 year old, pure face, light brown hair, cute, ahegao, HDR, 8k resolution, solo, naked, sexy, fuck big dildo, green eyes, curly hair, small breasts, huge ass, big creampie, spreading legs, stomach inflation "
462,"Facing viewer, athletic, curvy body, bikini, large breasts, c cup breasts, wet, sweaty skin, ebony"
463,"large breasts, seductive posture, latina, mature face, gigantic breasts, nude, naked, hourglass figure, completely nude, narrow waist, slim, bimbo, wide ass, huge ass, dwarf, small waste "
464,"The most excited sexy cute wet jizzed all over hot nun without any clothes and underwear with spread legs in stockings with voluminous shape  and an open wet vagina, hair ornament, bare chest, lying in bed, wet pussy, 8k resolution, sexy pose"
465,"Raiden Shogun, Raiden genshin inpact, (office uniform), white buttoned shirt, skirt, sitting on desk, bra, dark purple hair, black stockings, sitting politely, legs down"
466,"teacher, bedroom, big breast, red hair, black eyes, showing pussy, pussy juice, dildo, long hair, lying in bed, high heels, , facing viewer, night, masterpiece, shy face, legs up, cute, completely nude"
467,"Rin tohsaka laying on bed getting fucked hard by a dude. , creampie, hourglass figure, black pantyhose ripped"
468,"milf, redhead, ginger, glasses, medium breasts, thick pubic hair, silk stockings, ((sundress,)) messy braids, ((from below, view from below)), no panties, "
469,"milf, redhead, ginger, glasses, medium breasts, thick pubic hair, silk stockings, ((sundress,)) messy braids, ((from below, view from below)), no panties, "
470,"(Mitsuri Kanroji from Demon Slayer Series), ((close up)), 8k resolution, high definition, extremely detailed, chromatic aberrations, professional lighting, masterpiece, best quality, vivid colors, blurry background, natural skin, (((smooth)))"
471,"(((Jinx from League of Legends)), ((wearing tiny bikinii)), (close up), 8k resolution, high definition, extremely detailed, chromatic aberrations, professional lighting, masterpiece, best quality, vivid colors, blurry background, natural skin, (((smooth)))"
472,"((best quality)), ((highly detailed)), masterpiece, detailed face, beautiful face, (detailed eyes, deep eyes), (1girl), full body, long hair, black hair, black eyes, ponytail, hair pulled back, large breasts, ((NSFW)), ((hentai)), ((pussy)), (naked), (nude), ((harem))"
473,"Miku, sex, , 8k resolution, photorealistic, legs up, show pussy, pov, ahegao, pussy juice, cum, ((cum in pussy)), (((dripping cum))),"
474,"Spidergwen, having an orgasm, sweating, cum, ((cum in pussy)), (((dripping cum))), wet pussy, puffy pussy, sitting on a bed, smile, facing viewer"
475,"Tatsumaki from One Punch Man showing her ass and her pussy on a bed,green hair,green eyes,small boobs,big tights,anal,fully nude,blushed face,ahegao,open mouth"
476,"masturbating, orgasm, no panties, open blouse, open mouth, licking fingers, ((correct hands)), ((wet pussy))"
477,"Blowjob, Pov, Sucking deep, Deep throat, silver hair, completely nude, sexy, cute, big boobs, japanese"
478,"Shinobu kocho from demon slayer, fully naked, thick, big tits, big ass, purple eyes, horny, ahegao, covered in semen, having sex with a man in cowgirl style"
479,"solo, 1girl, (adult:1.4), black hair, red eyes, huge breasts, perky tits, athletic body, upper body, close up, ((black dress)), from front,  ((disgusted stare)), outdoors, trees, building, dusk, (centered:1.4, symmetrical:1.4),"
480,"(((Yor Forger from Spy X Family))), ((close up selfie)), (((wearing coat and tie)), (close up), 8k resolution, high definition, extremely detailed, chromatic aberrations, professional lighting, masterpiece, best quality, vivid colors, blurry background, natural skin, (((smooth)))"
481,"solo, 1girl, (adult:1.4), orange hair, long hair, orange eyes, busty, huge breasts, perky tits, upper body, from front, ((striped bikini)),"
482,"sexy pose, HDR, night, completely nude, spread legs, big breasts, spread pussy, curvy body, naked, pink hair, blue eyes , wet, sensual mouth, pink nipples, thighhighs, bedroom, ruined makeup"
483,"cute, cum in pussy, legs up, gigantic breasts, creampie, spread legs, nipples, perfect pussy, wet, breast grab, curvy body, Rem Re-Zero, large breasts, seductive posture, thighhighs, pussy, spread pussy, wet pussy, topless, naked, nude, puffy nipples, pink nipples, show pussy"
484,"solo, 1girl, ((yamato from one piece)), white hair, multicolored hair, orange eyes, orange horns, huge breasts, upper body, close up, ((close up breasts)), (smiling:1.1), ((floral bikini)), ((centered, symmetrical)), beach background, extremely detailed, perfectly sketched, high definition, 8k resolution, "
485,"Raiden Shogun genshin inpact, office uniform, sitting on desk, ((white button shirt))),skirt , medium breasts, dark purple hair, blush"
486,"close up shot, mature face, woman, medium boobs, standing at beach, lifting her top up, naked, very short harem skirt, half body shot, very horny, blushing, very long orange hair, dripping wet pussy, , shiny eyes, cute, seductive smile"
487,"20 year old, arms up, arm pits, sweaty, sweaty skin, wet, wet skin, wet pussy, pussy juice, drooling, ahegao face, blushing , rolling up eyes, tongue out, laying down in bed, steam, steamy room, steamy , hands behind back, nude, lying in bed, 1girl, bedroom, award winning photo, 8k wallpaper, 8k resolution, HDR, highres, shiny skin, medium breasts, cum all over face, cum on face, facial, masturbating"
488,"1girl, bokeh, cowboy shot, underwear, necklace, panties, night, professional lighting, award winning photo, facing viewer, cityscape, highres, looking at viewer, masterpiece, soft lighting, absurdres, pov, 8k wallpaper, photorealistic, crowded street, bedroom, portrait, RAW photo, photon mapping, 8k resolution, sharp focus, HDR, cinematic lumination, corset, office lady, ballgag, fur-trimmed_jacket, jewelry, sundress, leather harness, necktie, diamond earrings, revealing clothes, blouse, makeup, bikini"
489,"Ahegao drooling all over her body, fingers in vagina,, freckles, tongue out, rolling up eyes, ahegao, cute, ruined makeup, drooling, messy braids"
490,"ancient greek, ancient rome,  busty, revealing clothes, transparent clothes, in bathhouse, busty, curvy, golden hair"
491,"office lady, thighhighs, 8k wallpaper, professional lighting, RAW photo, facing viewer, seductive posture, perfect pussy, large breasts, pink nipples"
492,"((robin one piece)), ((NSFW)), ((hentai)), ((pussy)), (naked), (nude), ((harem)), masterpiece, best quality, looking at viewer, facing viewer, nice hands, perfect hands, (night:1.3), low key, excited, happy, joyful, (blush), smile, wide windows, living room, nico robin, 1girl, (((black hair))), blue eyes, breasts, eyewear on head, hair slicked back, large breasts, long hair, narrow waist, solo, sunglasses, fat ass, huge ass, from behind"
493,"cityscape, 1girl, sexy pose, long hair, 20 year old, ahegao, completely nude, curvy body, breast grab, cum in pussy, large breasts, busty, curvy body, completely nude"
494,"Curvy body, nude, spreading legs, big chest, pink hair, lace, wet pussy, perfect pussy, large breasts, seductive posture, masturbating, show pussy, squirting"
495,"gigantic breasts, very long blonde hair, smooth hair, green eyes, office lady , tight shirt, smile, fashionable, revealing clothes, curvy body, large breasts, hourglass figure, seductive posture, blue eyes, cute"
496,"Tsunade, pink nipples, legs up, breast grab, spread pussy, gigantic breasts, naked, wet, seductive posture, lying in bed"
497,"large breasts, medium brown hair, naked, 1girl, shower, angry, looking at camera, covering breasts"
498,"White hair elf, charming expression, lingerie, 1girl, silk stockings, spread pussy, topless, show pussy, pussy juice, cum in pussy, large breasts, pink nipples, pantyhose"
499,"hair ornament, office lady, flat chest, hands behind back, arms behind back, cute, spread pussy, cum in pussy, wet, wet pussy, pussy juice, spread legs, perfect pussy, shy smile, pregnant, lying in bed, ponytail, fox ears"
500,"Pink hair, blue eyes, fit body, naked or without clothes, big booobs, thick thighs , in bathtub , with spreading legs, fingering pussy , hourglass figure, completely nude, breast grab , full body, giving blowjob"
501,"1girl, solo, (adult:1.2), (tall:1.2), (old:1.2), white hair, yellow eyes, huge breasts, perky tits, upper body, close up, ((from behind)), high quality, high definition, extremely detailed, perfectly drawn portrait, ((((completely naked)))), (((nudity))), (((nude))), centered, symmetrical, red tassel"
502,"Wholesome, blonde, athletic, blue eyes, athletic clothes, small, slightly muscular, pale, looking at viewer, soft lighting, professional lighting"
503,"1girl, blue eyes, messy braids, blonde, long hair, seductive smile, nude, beach, pov, american, cum"
504,"Big boobs, big butt, , drooling, pink nipples, pussy, completely nude, pussy juice, hourglass figure, bedroom, busty, wet pussy, medium breasts, brown hair"
505,"1girl, anime, (((black o-ring bikini))), ((thigh up portrait)), perfect small breasts, sexually suggestive)) (((lewd))) Detailed hands, gorgeous (((anime style, masterpiece, best quality, 8k, 4k))), (high res), beautiful detailed, colourful, finely detailed, dramatic light, ((perfect hands)), ((perfect arms)), ((perfect face)), (detailed face), (detailed eyes), ((beautiful thin lips)) ((hot body)) (((redhead, twintails, dragon horns, dragon tail, belts, choker, anklet, circlet, garter belt))), bare feet, (thigh high stockings), fur trim, standing, city background, warrior, sword on back"
506,"stiff sweater collar, naked breasts , pull down skirt, spread ass, small breaths, high stool, bar, finger in ass, happy, closed 1 eye, side view from the back shy smile, ponytail, tongue out"
507,"More Gothic, black hair, freckles, Big ass, very very very small jean shorts, Big hips, realistic "
508,"1girl, blowjob, cum in mouth, semen, close up, ((close up face)), fellatio, from front, purple hair, purple eyes, medium penis, ((male pov)), looking at the viewer, Keqing from Genshin Impact, "
509,"Andriod 18 (dragon ball z), masterpiece, best quality, highres, bbyorf, short hair with long locks, white hairband, red eyes, gold earrings, large breasts, jewelry, outdoors, standing cowboy shot, smile, open mouth, hand on hip, perfect hands, short hair with long locks, sidelocks, solo, spikes, thighs, two-sided dress, two-sided fabric, lewd, nude, from below, ((dress lift:1.3))"
510,"hourglass figure, gigantic breasts, saggy breasts,, messy braids, freckles, mature face, blonde, 70 year old, bedroom, night gown"
511,"curvy body, nude, busty, pov, drooling, completely nude, spread pussy, topless, cum in pussy, legs up, show pussy, spread legs, charming expression"
512,"(masterpiece), best quality,  perfect face,  VIVI from one piece, blue hair, pov tit job ,licking dick between breast,  looking at viewer, nipples, show tits, completly naked, no clothes,, big breasts, perky tits, athletic, seductive posture, high resolution, high definitio , bare chest,, extremely beautiful woman,  wanostyle,Vivi, dick between boobs, open mouth ,solo focus,hetero,nude,large breasts"
513,"((steampunk anime style)),serious space general girl, wearing formal space suit, hard nipples, inside spaceship, moon ,(beautiful face),((ray traced, dark space))"
514,"(((scary anime style))),space girl, wearing space suit, explosion, ((scary scene)),dark moon ,(beautiful face),((ray traced, masterpiece)), closeup"
